title,release_year,imdb_id,genre,imdb_rating,date_watched
The Riot Club,2014,tt2717860,"Drama, Thriller",6.0,16/05/2020
See You Yesterday,2019,tt8743064,"Action, Adventure, Crime",5.2,12/05/2020
The Platform,2001,tt0317990,"Drama, Short, Thriller",6.8,12/05/2020
The Dawn Wall,2017,tt7286916,"Documentary, Biography, Sport",8.1,10/05/2020
Hail Satan?,2019,tt9358044,Documentary,7.3,09/05/2020
Murder to Mercy: The Cyntoia Brown Story,2020,tt9050898,Documentary,6.4,07/05/2020
Catfish,2010,tt1584016,"Documentary, Drama, Mystery",7.1,05/05/2020
Wounds,2019,tt5913798,"Drama, Horror, Mystery",4.0,04/05/2020
A Nightmare on Elm Street,1984,tt0087800,Horror,7.5,02/05/2020
The Invitation,2015,tt2400463,"Drama, Mystery, Thriller",6.6,02/05/2020
Voyeur,2017,tt7588790,Documentary,6.2,01/05/2020
Love Wedding Repeat,2020,tt5096470,"Comedy, Romance",5.5,29/04/2020
The Miseducation of Cameron Post,2018,tt6257174,Drama,6.6,28/04/2020
Chris Rock: Tamborine,2018,tt8005338,Comedy,6.6,28/04/2020
The Social Network,2010,tt1285016,"Biography, Drama",7.7,28/04/2020
He's Just Not That Into You,2009,tt1001508,"Comedy, Drama, Romance",6.4,27/04/2020
Circle,2015,tt3118452,"Drama, Horror, Mystery",6.0,26/04/2020
Friends with Benefits,2011,tt1632708,"Comedy, Romance",6.5,26/04/2020
The House Bunny,2008,tt0852713,"Comedy, Romance",5.5,25/04/2020
Trixie Mattel: Moving Parts,2019,tt10011508,Documentary,7.3,24/04/2020
Circus of Books,2019,tt8727582,"Documentary, Biography, History",7.1,24/04/2020
Space Jam,1996,tt0117705,"Animation, Adventure, Comedy",6.5,21/04/2020
A Quiet Place,2018,tt6644200,"Drama, Horror, Sci-Fi",7.5,20/04/2020
Neighbors,2014,tt2004420,Comedy,6.3,17/04/2020
Get Him to the Greek,2010,tt1226229,"Comedy, Music",6.3,17/04/2020
Three Identical Strangers,2018,tt7664504,"Documentary, Biography, Drama",7.6,13/04/2020
Extra Ordinary,2019,tt8233874,"Comedy, Fantasy, Horror",6.5,13/04/2020
Child's Play,1988,tt0094862,"Fantasy, Horror, Thriller",6.6,12/04/2020
"I, Tonya",2017,tt5580036,"Biography, Comedy, Drama",7.5,06/04/2020
Oasis: Supersonic,1994,tt5685696,"Short, Music",7.2,05/04/2020
What If,1992,tt0250113,N/A,9.1,30/03/2020
Final Destination 5,2011,tt1622979,"Action, Horror, Thriller",5.8,22/03/2020
Bird Box,2018,tt2737304,"Horror, Sci-Fi",6.6,19/03/2020
Maniac,2012,tt2103217,"Horror, Thriller",6.1,18/03/2020
In the Tall Grass,2019,tt4687108,"Horror, Mystery, Sci-Fi",5.4,18/03/2020
The Ritual,2017,tt5638642,"Horror, Mystery, Thriller",6.3,18/03/2020
Pineapple Express,2008,tt0910936,"Action, Comedy, Crime",6.9,16/03/2020
Scott Pilgrim vs. the World,2010,tt0446029,"Action, Comedy, Fantasy",7.5,15/03/2020
Gerald's Game,2017,tt3748172,"Drama, Horror, Thriller",6.5,15/03/2020
Orphan,2009,tt1148204,"Horror, Mystery, Thriller",7.0,13/03/2020
Kingsman: The Secret Service,2014,tt2802144,"Action, Adventure, Comedy",7.7,11/03/2020
Easy A,2010,tt1282140,"Comedy, Drama, Romance",7.0,05/03/2020
Simon Amstell: Set Free,2019,tt10687642,Comedy,6.4,03/03/2020
Girl on the Third Floor,2019,tt9026184,"Drama, Horror, Mystery",4.6,27/02/2020
No Strings Attached,2011,tt1411238,"Comedy, Romance",6.2,23/02/2020
Lady Bird,2017,tt4925292,"Comedy, Drama",7.4,23/02/2020
The Mask of Zorro,1998,tt0120746,"Action, Adventure, Comedy",6.8,21/02/2020
Kick-Ass,2010,tt1250777,"Action, Comedy, Crime",7.6,20/02/2020
Polaroid,2019,tt5598292,"Drama, Horror, Mystery",5.1,19/02/2020
Legally Blonde,2001,tt0250494,"Comedy, Romance",6.3,10/02/2020
Sinister,2012,tt1922777,"Horror, Mystery, Thriller",6.8,05/02/2020
Daybreakers,2009,tt0433362,"Action, Adventure, Fantasy",6.4,04/02/2020
The Hustle,2019,tt1298644,"Comedy, Crime",5.4,02/02/2020
Groundhog Day,1993,tt0107048,"Comedy, Fantasy, Romance",8.0,29/01/2020
Happy Death Day,2017,tt5308322,"Comedy, Horror, Mystery",6.6,27/01/2020
Horrible Bosses,2011,tt1499658,"Comedy, Crime",6.8,26/01/2020
The Boy,2016,tt3882082,"Horror, Mystery, Thriller",6.0,21/01/2020
Escape Room,2019,tt5886046,"Action, Adventure, Horror",6.4,21/01/2020
Videodrome,1983,tt0086541,"Horror, Sci-Fi, Thriller",7.2,21/01/2020
The Strangers: Prey at Night,2018,tt1285009,Horror,5.2,12/01/2020
Hush,2016,tt5022702,"Horror, Thriller",6.6,12/01/2020
Won't You Be My Neighbor?,2018,tt7681902,"Documentary, Biography",8.4,08/01/2020
Inception,2010,tt1375666,"Action, Adventure, Sci-Fi",8.8,22/12/2019
The Death of Stalin,2017,tt4686844,"Comedy, Drama, History",7.3,22/12/2019
Mars Attacks!,1996,tt0116996,"Comedy, Sci-Fi",6.3,22/11/2019
The World's End,2013,tt1213663,"Comedy, Sci-Fi",7.0,22/11/2019
Paul,2011,tt1092026,"Adventure, Comedy, Sci-Fi",7.0,22/11/2019
Ex Machina,2014,tt0470752,"Drama, Sci-Fi, Thriller",7.7,22/11/2019
Jumanji: Welcome to the Jungle,2017,tt2283362,"Action, Adventure, Comedy",6.9,18/11/2019
The Little Hours,2017,tt5666304,"Comedy, Romance",5.8,17/10/2019
Colossal,2016,tt4680182,"Action, Adventure, Comedy",6.2,14/10/2019
El Camino: A Breaking Bad Movie,2019,tt9243946,"Action, Crime, Drama",7.3,12/10/2019
Between Two Ferns: The Movie,2019,tt9398640,Comedy,6.1,10/10/2019
Twins,1988,tt0096320,"Comedy, Crime",6.1,09/10/2019
Last Action Hero,1993,tt0107362,"Action, Adventure, Comedy",6.4,11/09/2019
The Thing,1982,tt0084787,"Horror, Mystery, Sci-Fi",8.1,28/08/2019
Snowpiercer,2013,tt1706620,"Action, Drama, Sci-Fi",7.1,01/08/2019
Baby Driver,2017,tt3890160,"Action, Crime, Drama",7.6,31/07/2019
Despicable Me 3,2017,tt3469046,"Animation, Adventure, Comedy",6.3,08/06/2019
Await Further Instructions,2018,tt4971408,"Horror, Mystery, Sci-Fi",4.8,29/03/2019
Source Code,2011,tt0945513,"Action, Drama, Mystery",7.5,28/03/2019
Get Out,2017,tt5052448,"Horror, Mystery, Thriller",7.7,28/03/2019
The Grand Budapest Hotel,2014,tt2278388,"Adventure, Comedy, Crime",8.1,20/03/2019
Abducted in Plain Sight,2017,tt3444312,"Documentary, Crime",6.8,22/02/2019
Behind the Curve,2018,tt8132700,Documentary,6.5,22/02/2019
Jigsaw,2017,tt3348730,"Crime, Horror, Mystery",5.8,24/10/2018
Creep,2014,tt2428170,"Horror, Thriller",6.3,24/10/2018
The Purge: Election Year,2016,tt4094724,"Action, Horror, Sci-Fi",6.0,19/10/2018
The Vault,2017,tt1785635,"Crime, Horror, Mystery",4.9,11/10/2018
Insidious,2010,tt1591095,"Horror, Mystery, Thriller",6.8,10/10/2018
Louis Theroux: Savile,2016,tt6098922,Documentary,7.4,14/07/2018
Donnie Darko,2001,tt0246578,"Drama, Mystery, Sci-Fi",8.0,09/11/2015
RoboCop 2,1990,tt0100502,"Action, Crime, Sci-Fi",5.8,23/06/2015
Back to the Future Part II,1989,tt0096874,"Adventure, Comedy, Sci-Fi",7.8,20/06/2015
In Bruges,2008,tt0780536,"Comedy, Crime, Drama",7.9,20/05/2015
Clueless,1995,tt0112697,"Comedy, Romance",6.9,14/05/2015
"Jeff, Who Lives at Home",2011,tt1588334,"Comedy, Drama",6.5,11/05/2015
Pageant,2008,tt1152834,Documentary,6.7,09/03/2015
Death at a Funeral,2007,tt0795368,Comedy,7.4,09/03/2015
Filth,2013,tt1450321,"Comedy, Crime, Drama",7.1,21/02/2015
"The Adventures of Priscilla, Queen of the Desert",1994,tt0109045,"Comedy, Music",7.5,14/02/2015
The Birdcage,1996,tt0115685,Comedy,7.1,13/02/2015
The Fisher King,1991,tt0101889,"Comedy, Drama, Fantasy",7.5,18/01/2015
Charlie Bartlett,2007,tt0423977,"Comedy, Drama, Romance",7.0,18/01/2015
